entry,length,game_strings_broken,dict_words_broken,blast_radius,example_game,example_dict,recommended_action,rationale
caojinqucom,11,0,0,0,,,KEEP,no measured false positives
caokkkcom,9,0,0,0,,,KEEP,no measured false positives
caoliushequ,11,0,0,0,,,KEEP,no measured false positives
caonima,7,0,0,0,,,KEEP,no measured false positives
caoporn,7,0,0,0,,,KEEP,no measured false positives
caotama,7,0,0,0,,,KEEP,no measured false positives
carrefour,9,0,0,0,,,KEEP,no measured false positives
ccbacc,6,0,0,0,,,KEEP,no measured false positives
ccliaoinfo,10,0,0,0,,,KEEP,no measured false positives
ccmeclme,8,0,0,0,,,KEEP,no measured false positives
ccp,3,0,0,0,,,KEEP,no measured false positives
ccrtcc,6,0,0,0,,,KEEP,no measured false positives
cctekcc,7,0,0,0,,,KEEP,no measured false positives
cctvavcom,9,0,0,0,,,KEEP,no measured false positives
cdjhsmcom,9,0,0,0,,,KEEP,no measured false positives
cdmxecom,8,0,0,0,,,KEEP,no measured false positives
cdqrinbcom,10,0,0,0,,,KEEP,no measured false positives
cdreamcom,9,0,0,0,,,KEEP,no measured false positives
cdtsercom,9,0,0,0,,,KEEP,no measured false positives
ceetcom,7,0,0,0,,,KEEP,no measured false positives
chachazonghecom,15,0,0,0,,,KEEP,no measured false positives
changwei,8,0,0,0,,,KEEP,no measured false positives
chbguanwangcom,14,0,0,0,,,KEEP,no measured false positives
chendaohuafrcn,14,0,0,0,,,KEEP,no measured false positives
chinadog,8,0,0,0,,,KEEP,no measured false positives
chinahyhrcom,12,0,0,0,,,KEEP,no measured false positives
chinaliberal,12,0,0,0,,,KEEP,no measured false positives
chinamz,7,0,0,0,,,KEEP,no measured false positives
chinavfxnet,11,0,0,0,,,KEEP,no measured false positives
chinayhnet,10,0,0,0,,,KEEP,no measured false positives
chinazytcom,11,0,0,0,,,KEEP,no measured false positives
chinesenewsnet,14,0,0,0,,,KEEP,no measured false positives
chinky,6,0,0,0,,,KEEP,no measured false positives
chipengsengcn,13,0,0,0,,,KEEP,no measured false positives
chongxianmucn,13,0,0,0,,,KEEP,no measured false positives
chuyewcom,9,0,0,0,,,KEEP,no measured false positives
cipfg,5,0,0,0,,,KEEP,no measured false positives
cjhdxoccom,10,0,0,0,,,KEEP,no measured false positives
cklkwacom,9,0,0,0,,,KEEP,no measured false positives
clbearhkinfo,12,0,0,0,,,KEEP,no measured false positives
clockgemstone,13,0,0,0,,,KEEP,no measured false positives
clrpzsu,7,0,0,0,,,KEEP,no measured false positives
cnd,3,0,0,0,,,KEEP,no measured false positives
cnhongdiancom,13,0,0,0,,,KEEP,no measured false positives
cnhuakecom,10,0,0,0,,,KEEP,no measured false positives
cnm,3,0,0,0,,,KEEP,no measured false positives
cnmd,4,0,0,0,,,KEEP,no measured false positives
cnnxesucn,9,0,0,0,,,KEEP,no measured false positives
cntv,4,0,0,0,,,KEEP,no measured false positives
cntvus,6,0,0,0,,,KEEP,no measured false positives
cnxhgycom,9,0,0,0,,,KEEP,no measured false positives
coolie,6,0,0,0,,,KEEP,no measured false positives
cpc,3,0,0,0,,,KEEP,no measured false positives
cqhdjxcom,9,0,0,0,,,KEEP,no measured false positives
cqhtfycom,9,0,0,0,,,KEEP,no measured false positives
cqwlhacom,9,0,0,0,,,KEEP,no measured false positives
creaders,8,0,0,0,,,KEEP,no measured false positives
crestbone,9,0,0,0,,,KEEP,no measured false positives
crjuedqcom,10,0,0,0,,,KEEP,no measured false positives
cv,2,0,0,0,,,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
cvceocom,8,0,0,0,,,KEEP,no measured false positives
cvxnbcn,7,0,0,0,,,KEEP,no measured false positives
cxh,3,0,0,0,,,KEEP,no measured false positives
cxk,3,0,0,0,,,KEEP,no measured false positives
cygowxcom,9,0,0,0,,,KEEP,no measured false positives
dadaticom,9,0,0,0,,,KEEP,no measured false positives
dadilucc,8,0,0,0,,,KEEP,no measured false positives
dafa,4,0,0,0,,,KEEP,no measured false positives
dafaccn,7,0,0,0,,,KEEP,no measured false positives
dafeiji,7,0,0,0,,,KEEP,no measured false positives
daixinliangncn,14,0,0,0,,,KEEP,no measured false positives
daixinliangqcn,14,0,0,0,,,KEEP,no measured false positives
dajiawangcc,11,0,0,0,,,KEEP,no measured false positives
dajiyuan,8,0,0,0,,,KEEP,no measured false positives
dalianwuyecn,12,0,0,0,,,KEEP,no measured false positives
dangzhongyang,13,0,0,0,,,KEEP,no measured false positives
dartonarcherycom,16,0,0,0,,,KEEP,no measured false positives
daxuegolfcom,12,0,0,0,,,KEEP,no measured false positives
dbilucc,7,0,0,0,,,KEEP,no measured false positives
ddd,3,0,0,0,,,KEEP,no measured false positives
ddlc,4,0,0,0,,,KEEP,no measured false positives
dedeaicom,9,0,0,0,,,KEEP,no measured false positives
dedeluinfo,10,0,0,0,,,KEEP,no measured false positives
dedesecom,9,0,0,0,,,KEEP,no measured false positives
dengxiaodongccn,15,0,0,0,,,KEEP,no measured false positives
dfdz,4,0,0,0,,,KEEP,no measured false positives
dgzaccn,7,0,0,0,,,KEEP,no measured false positives
dhlvdscience,12,0,0,0,,,KEEP,no measured false positives
diamorphine,11,0,0,0,,,KEEP,no measured false positives
diao,4,0,0,0,,,KEEP,no measured false positives
diaosi,6,0,0,0,,,KEEP,no measured false positives
digitallongkingcom,18,0,0,0,,,KEEP,no measured false positives
dihaokaoshucom,14,0,0,0,,,KEEP,no measured false positives
dishun,6,0,0,0,,,KEEP,no measured false positives
dizhiga,7,0,0,0,,,KEEP,no measured false positives
djqhacn,7,0,0,0,,,KEEP,no measured false positives
dknbyorcom,10,0,0,0,,,KEEP,no measured false positives
dlcom,5,0,0,0,,,KEEP,no measured false positives
dnwjrcn,7,0,0,0,,,KEEP,no measured false positives
dolbbscom,9,0,0,0,,,KEEP,no measured false positives
donglanindustrycom,18,0,0,0,,,KEEP,no measured false positives
dongtaiwang,11,0,0,0,,,KEEP,no measured false positives
doujins,7,0,0,0,,,KEEP,no measured false positives
dpbaccn,7,0,0,0,,,KEEP,no measured false positives
dpp,3,0,0,0,,,KEEP,no measured false positives
drgaccn,7,0,0,0,,,KEEP,no measured false positives
drraccn,7,0,0,0,,,KEEP,no measured false positives
dsds,4,0,0,0,,,KEEP,no measured false positives
dsydynet,8,0,0,0,,,KEEP,no measured false positives
dtuwqcn,7,0,0,0,,,KEEP,no measured false positives
duowan,6,0,0,0,,,KEEP,no measured false positives
duowancom,9,0,0,0,,,KEEP,no measured false positives
dupin,5,0,0,0,,,KEEP,no measured false positives
durantine,9,0,0,0,,,KEEP,no measured false positives
dwotxwycom,10,0,0,0,,,KEEP,no measured false positives
dxd,3,0,0,0,,,KEEP,no measured false positives
dxnkgcn,7,0,0,0,,,KEEP,no measured false positives
dxsbhqcom,9,0,0,0,,,KEEP,no measured false positives
dymiicom,8,0,0,0,,,KEEP,no measured false positives
dzclclbzcom,11,0,0,0,,,KEEP,no measured false positives
eadimxcom,9,0,0,0,,,KEEP,no measured false positives
eahmrdcn,8,0,0,0,,,KEEP,no measured false positives
ecstasy,7,0,0,0,,,KEEP,no measured false positives
eeexaohcn,9,0,0,0,,,KEEP,no measured false positives
efgsdfcn,8,0,0,0,,,KEEP,no measured false positives
efiaaccn,8,0,0,0,,,KEEP,no measured false positives
ejetbiocom,10,0,0,0,,,KEEP,no measured false positives
elsagate,8,0,0,0,,,KEEP,no measured false positives
enlai,5,0,0,0,,,KEEP,no measured false positives
epochtaiwan,11,0,0,0,,,KEEP,no measured false positives
epochtimes,10,0,0,0,,,KEEP,no measured false positives
esprit,6,0,0,0,,,KEEP,no measured false positives
everybody,9,0,0,0,,,KEEP,no measured false positives
exkracn,7,0,0,0,,,KEEP,no measured false positives
eyxljkccom,10,0,0,0,,,KEEP,no measured false positives
falundafa,9,0,0,0,,,KEEP,no measured false positives
falungong,9,0,0,0,,,KEEP,no measured false positives
fanhaomicom,11,0,0,0,,,KEEP,no measured false positives
fasljcn,7,0,0,0,,,KEEP,no measured false positives
fdzone,6,0,0,0,,,KEEP,no measured false positives
feelmistone,11,0,0,0,,,KEEP,no measured false positives
feiqiwucom,10,0,0,0,,,KEEP,no measured false positives
feitengdlcom,12,0,0,0,,,KEEP,no measured false positives
feiwu,5,0,0,0,,,KEEP,no measured false positives
fffff,5,0,0,0,,,KEEP,no measured false positives
fgmtv,5,0,0,0,,,KEEP,no measured false positives
fhyscc,6,0,0,0,,,KEEP,no measured false positives
fisonetcom,10,0,0,0,,,KEEP,no measured false positives
fklmlcn,7,0,0,0,,,KEEP,no measured false positives
fku,3,0,0,0,,,KEEP,no measured false positives
flg,3,0,0,0,,,KEEP,no measured false positives
flmskxhcom,10,0,0,0,,,KEEP,no measured false positives
flmstcom,8,0,0,0,,,KEEP,no measured false positives
fmbeacom,8,0,0,0,,,KEEP,no measured false positives
footsiwacom,11,0,0,0,,,KEEP,no measured false positives
fq,2,0,0,0,,,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
freechina,9,0,0,0,,,KEEP,no measured false positives
freenet,7,0,0,0,,,KEEP,no measured false positives
freeprontv,10,0,0,0,,,KEEP,no measured false positives
freetibet,9,0,0,0,,,KEEP,no measured false positives
freevpnproxybyspeedyvpn,23,0,0,0,,,KEEP,no measured false positives
frtfdjncom,10,0,0,0,,,KEEP,no measured false positives
fuck,4,0,0,0,,,KEEP,no measured false positives
fuckyou,7,0,0,0,,,KEEP,no measured false positives
fuk,3,0,0,0,,,KEEP,no measured false positives
fulao,5,0,0,0,,,KEEP,no measured false positives
fuluwanet,9,0,0,0,,,KEEP,no measured false positives
fvv,3,0,0,0,,,KEEP,no measured false positives
fwrqptnuxyz,11,0,0,0,,,KEEP,no measured false positives
fxjsqccom,9,0,0,0,,,KEEP,no measured false positives
gaakkoqiscience,15,0,0,0,,,KEEP,no measured false positives
gamedog,7,0,0,0,,,KEEP,no measured false positives
gamemaster,10,0,0,0,,,KEEP,no measured false positives
gamocfx,7,0,0,0,,,KEEP,no measured false positives
ganganwocom,11,0,0,0,,,KEEP,no measured false positives
gaoshenus,9,0,0,0,,,KEEP,no measured false positives
gaoxiaotupianxiaosirencom,25,0,0,0,,,KEEP,no measured false positives
gardennetworks,14,0,0,0,,,KEEP,no measured false positives
gbtubjcom,9,0,0,0,,,KEEP,no measured false positives
gcd,3,0,0,0,,,KEEP,no measured false positives
gcrgcnwcom,10,0,0,0,,,KEEP,no measured false positives
gdp,3,0,0,0,,,KEEP,no measured false positives
gdragon,7,0,0,0,,,KEEP,no measured false positives
gegehuacom,10,0,0,0,,,KEEP,no measured false positives
gegesheavcom,12,0,0,0,,,KEEP,no measured false positives
gelexecom,9,0,0,0,,,KEEP,no measured false positives
geliweixiucom,13,0,0,0,,,KEEP,no measured false positives
geocitiescom,12,0,0,0,,,KEEP,no measured false positives
georgege,8,0,0,0,,,KEEP,no measured false positives
gfdsrtyghfdslxindasdcom,23,0,0,0,,,KEEP,no measured false positives
gfwujccom,9,0,0,0,,,KEEP,no measured false positives
gigabytecn,10,0,0,0,,,KEEP,no measured false positives
gmd,3,0,0,0,,,KEEP,no measured false positives
gmyclhiscience,14,0,0,0,,,KEEP,no measured false positives
gogonet,7,0,0,0,,,KEEP,no measured false positives
gongcandang,11,0,0,0,,,KEEP,no measured false positives
gongchadang,11,0,0,0,,,KEEP,no measured false positives
gongchandang,12,0,0,0,,,KEEP,no measured false positives
gongchangdang,13,0,0,0,,,KEEP,no measured false positives
gravurehuntercom,16,0,0,0,,,KEEP,no measured false positives
grfgrfbkdkalxcom,16,0,0,0,,,KEEP,no measured false positives
grjfnmbxyz,10,0,0,0,,,KEEP,no measured false positives
gruepin,7,0,0,0,,,KEEP,no measured false positives
gsmhacknet,10,0,0,0,,,KEEP,no measured false positives
gssmttcom,9,0,0,0,,,KEEP,no measured false positives
guaeogciscience,15,0,0,0,,,KEEP,no measured false positives
guaikacc,8,0,0,0,,,KEEP,no measured false positives
guandongyiyuancom,17,0,0,0,,,KEEP,no measured false positives
guijianyucom,12,0,0,0,,,KEEP,no measured false positives
guotaoli,8,0,0,0,,,KEEP,no measured false positives
guowengui,9,0,0,0,,,KEEP,no measured false positives
guweivpcn,9,0,0,0,,,KEEP,no measured false positives
gvardiya,8,0,0,0,,,KEEP,no measured false positives
gvjqmcuscn,10,0,0,0,,,KEEP,no measured false positives
gvqobcn,7,0,0,0,,,KEEP,no measured false positives
gwg,3,0,0,0,,,KEEP,no measured false positives
gysecc,6,0,0,0,,,KEEP,no measured false positives
gzqiuqiangcom,13,0,0,0,,,KEEP,no measured false positives
hallelujah,10,0,0,0,,,KEEP,no measured false positives
hammervpnantidpivpn,19,0,0,0,,,KEEP,no measured false positives
hangtungchow,12,0,0,0,,,KEEP,no measured false positives
hanzheng,8,0,0,0,,,KEEP,no measured false positives
haohaoliecom,12,0,0,0,,,KEEP,no measured false positives
haosilucom,10,0,0,0,,,KEEP,no measured false positives
haousecn,8,0,0,0,,,KEEP,no measured false positives
hbnzaccn,8,0,0,0,,,KEEP,no measured false positives
heixiao,7,0,0,0,,,KEEP,no measured false positives
hellotalk,9,0,0,0,,,KEEP,no measured false positives
hewaccn,7,0,0,0,,,KEEP,no measured false positives
hggjcom,7,0,0,0,,,KEEP,no measured false positives
hhhak,5,0,0,0,,,KEEP,no measured false positives
hhhk,4,0,0,0,,,KEEP,no measured false positives
hhhwxlrzwcom,12,0,0,0,,,KEEP,no measured false positives
hhqmmcom,8,0,0,0,,,KEEP,no measured false positives
hikemessenger,13,0,0,0,,,KEEP,no measured false positives
hixginfo,8,0,0,0,,,KEEP,no measured false positives
hjscjscom,9,0,0,0,,,KEEP,no measured false positives
hkqylccom,9,0,0,0,,,KEEP,no measured false positives
hldxrtzcom,10,0,0,0,,,KEEP,no measured false positives
hmiyjcn,7,0,0,0,,,KEEP,no measured false positives
hmtd,4,0,0,0,,,KEEP,no measured false positives
hndffdccom,10,0,0,0,,,KEEP,no measured false positives
hngbzsgbyycom,13,0,0,0,,,KEEP,no measured false positives
hnhoaucom,9,0,0,0,,,KEEP,no measured false positives
hololive,8,0,0,0,,,KEEP,no measured false positives
homexfcn,8,0,0,0,,,KEEP,no measured false positives
hongkongdoll,12,0,0,0,,,KEEP,no measured false positives
hongzhi,7,0,0,0,,,KEEP,no measured false positives
honkie,6,0,0,0,,,KEEP,no measured false positives
honky,5,0,0,0,,,KEEP,no measured false positives
horljcn,7,0,0,0,,,KEEP,no measured false positives
hrichina,8,0,0,0,,,KEEP,no measured false positives
http,4,0,0,0,,,KEEP,no measured false positives
httpaaaugcom,12,0,0,0,,,KEEP,no measured false positives
httpabcxoxyz,12,0,0,0,,,KEEP,no measured false positives
httpabxfuloan,13,0,0,0,,,KEEP,no measured false positives
httpaddlasfyhaknsfaxyz,22,0,0,0,,,KEEP,no measured false positives
httpadssricom,13,0,0,0,,,KEEP,no measured false positives
httpagtimetvcom,15,0,0,0,,,KEEP,no measured false positives
httpahdingniucom,16,0,0,0,,,KEEP,no measured false positives
httpaigwkcom,12,0,0,0,,,KEEP,no measured false positives
httpaimeizmcom,14,0,0,0,,,KEEP,no measured false positives
httpainiggcom,13,0,0,0,,,KEEP,no measured false positives
httpaippexpocom,15,0,0,0,,,KEEP,no measured false positives
httpaiyingocom,14,0,0,0,,,KEEP,no measured false positives
httpaliciliorg,14,0,0,0,,,KEEP,no measured false positives
httpallianzercom,16,0,0,0,,,KEEP,no measured false positives
httpalonggq,11,0,0,0,,,KEEP,no measured false positives
httpanccjjcom,13,0,0,0,,,KEEP,no measured false positives
httpancientwarsspartacom,24,0,0,0,,,KEEP,no measured false positives
httpanhuishenghongcom,21,0,0,0,,,KEEP,no measured false positives
httpanjmmcom,12,0,0,0,,,KEEP,no measured false positives
httpaolecc,10,0,0,0,,,KEEP,no measured false positives
httpasianpornmoviesorg,22,0,0,0,,,KEEP,no measured false positives
httpasnxycdcom,14,0,0,0,,,KEEP,no measured false positives
httpavavcdcom,13,0,0,0,,,KEEP,no measured false positives
httpavavtubecom,15,0,0,0,,,KEEP,no measured false positives
httpavavzyinfo,14,0,0,0,,,KEEP,no measured false positives
httpaviqydhtop,14,0,0,0,,,KEEP,no measured false positives
httpavmgcnet,12,0,0,0,,,KEEP,no measured false positives
httpavnrwcom,12,0,0,0,,,KEEP,no measured false positives
httpavpornml,12,0,0,0,,,KEEP,no measured false positives
httpavsmmgggavcom,17,0,0,0,,,KEEP,no measured false positives
